src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
192.168.167.254,192.168.167.52,80,17611,TCP,54,0,64,RA,20,0,0
192.168.167.254,192.168.167.52,80,17612,TCP,54,0,64,RA,20,0,1
192.168.167.254,192.168.167.52,80,17613,TCP,54,0,64,RA,20,0,2
192.168.167.254,192.168.167.52,80,17614,TCP,54,0,64,RA,20,0,3
192.168.167.254,192.168.167.52,80,17615,TCP,54,0,64,RA,20,0,4
192.168.167.52,192.168.167.254,17616,80,TCP,60,0,64,S,2,512,5
192.168.167.52,192.168.167.254,17617,80,TCP,60,0,64,S,2,512,6
192.168.167.52,192.168.167.254,17618,80,TCP,60,0,64,S,2,512,7
192.168.167.52,192.168.167.254,17619,80,TCP,60,0,64,S,2,512,8
192.168.167.52,192.168.167.254,17620,80,TCP,60,0,64,S,2,512,9
192.168.167.52,192.168.167.254,17621,80,TCP,60,0,64,S,2,512,10
192.168.167.52,192.168.167.254,17622,80,TCP,60,0,64,S,2,512,11
192.168.167.52,192.168.167.254,17623,80,TCP,60,0,64,S,2,512,12
192.168.167.254,192.168.167.52,80,17616,TCP,54,0,64,RA,20,0,13
192.168.167.254,192.168.167.52,80,17617,TCP,54,0,64,RA,20,0,14
192.168.167.254,192.168.167.52,80,17618,TCP,54,0,64,RA,20,0,15
192.168.167.254,192.168.167.52,80,17619,TCP,54,0,64,RA,20,0,16
192.168.167.254,192.168.167.52,80,17620,TCP,54,0,64,RA,20,0,17
192.168.167.254,192.168.167.52,80,17621,TCP,54,0,64,RA,20,0,18
192.168.167.254,192.168.167.52,80,17622,TCP,54,0,64,RA,20,0,19
192.168.167.254,192.168.167.52,80,17623,TCP,54,0,64,RA,20,0,20
192.168.167.52,192.168.167.254,17624,80,TCP,60,0,64,S,2,512,21
192.168.167.52,192.168.167.254,17625,80,TCP,60,0,64,S,2,512,22
192.168.167.52,192.168.167.254,17626,80,TCP,60,0,64,S,2,512,23
192.168.167.52,192.168.167.254,17627,80,TCP,60,0,64,S,2,512,24
192.168.167.52,192.168.167.254,17628,80,TCP,60,0,64,S,2,512,25
192.168.167.52,192.168.167.254,17629,80,TCP,60,0,64,S,2,512,26
192.168.167.52,192.168.167.254,17630,80,TCP,60,0,64,S,2,512,27
192.168.167.52,192.168.167.254,17631,80,TCP,60,0,64,S,2,512,28
192.168.167.254,192.168.167.52,80,17624,TCP,54,0,64,RA,20,0,29
192.168.167.254,192.168.167.52,80,17625,TCP,54,0,64,RA,20,0,30
192.168.167.254,192.168.167.52,80,17626,TCP,54,0,64,RA,20,0,31
192.168.167.254,192.168.167.52,80,17627,TCP,54,0,64,RA,20,0,32
192.168.167.254,192.168.167.52,80,17628,TCP,54,0,64,RA,20,0,33
192.168.167.254,192.168.167.52,80,17629,TCP,54,0,64,RA,20,0,34
192.168.167.254,192.168.167.52,80,17630,TCP,54,0,64,RA,20,0,35
192.168.167.254,192.168.167.52,80,17631,TCP,54,0,64,RA,20,0,36
192.168.167.52,192.168.167.254,17632,80,TCP,60,0,64,S,2,512,37
192.168.167.52,192.168.167.254,17633,80,TCP,60,0,64,S,2,512,38
192.168.167.52,192.168.167.254,17634,80,TCP,60,0,64,S,2,512,39
192.168.167.52,192.168.167.254,17635,80,TCP,60,0,64,S,2,512,40
192.168.167.52,192.168.167.254,17636,80,TCP,60,0,64,S,2,512,41
192.168.167.52,192.168.167.254,17637,80,TCP,60,0,64,S,2,512,42
192.168.167.52,192.168.167.254,17638,80,TCP,60,0,64,S,2,512,43
192.168.167.52,192.168.167.254,17639,80,TCP,60,0,64,S,2,512,44
192.168.167.254,192.168.167.52,80,17632,TCP,54,0,64,RA,20,0,45
192.168.167.254,192.168.167.52,80,17633,TCP,54,0,64,RA,20,0,46
192.168.167.254,192.168.167.52,80,17634,TCP,54,0,64,RA,20,0,47
192.168.167.254,192.168.167.52,80,17635,TCP,54,0,64,RA,20,0,48
192.168.167.254,192.168.167.52,80,17636,TCP,54,0,64,RA,20,0,49
192.168.167.254,192.168.167.52,80,17637,TCP,54,0,64,RA,20,0,50
192.168.167.254,192.168.167.52,80,17638,TCP,54,0,64,RA,20,0,51
192.168.167.254,192.168.167.52,80,17639,TCP,54,0,64,RA,20,0,52
192.168.167.52,192.168.167.254,17640,80,TCP,60,0,64,S,2,512,53
192.168.167.52,192.168.167.254,17641,80,TCP,60,0,64,S,2,512,54
192.168.167.52,192.168.167.254,17642,80,TCP,60,0,64,S,2,512,55
192.168.167.52,192.168.167.254,17643,80,TCP,60,0,64,S,2,512,56
192.168.167.52,192.168.167.254,17644,80,TCP,60,0,64,S,2,512,57
192.168.167.52,192.168.167.254,17645,80,TCP,60,0,64,S,2,512,58
192.168.167.52,192.168.167.254,17646,80,TCP,60,0,64,S,2,512,59
192.168.167.52,192.168.167.254,17647,80,TCP,60,0,64,S,2,512,60
192.168.167.254,192.168.167.52,80,17640,TCP,54,0,64,RA,20,0,61
192.168.167.254,192.168.167.52,80,17641,TCP,54,0,64,RA,20,0,62
192.168.167.254,192.168.167.52,80,17642,TCP,54,0,64,RA,20,0,63
192.168.167.254,192.168.167.52,80,17643,TCP,54,0,64,RA,20,0,64
