src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
192.168.50.83,192.168.50.1,22,64995,TCP,178,124,64,PA,24.0,501.0,0
192.168.50.1,192.168.50.83,64995,22,TCP,60,0,127,A,16.0,509.0,1
192.168.50.1,192.168.50.83,65086,22,TCP,90,36,127,PA,24.0,512.0,3
192.168.50.83,192.168.50.1,22,65086,TCP,90,36,64,PA,24.0,501.0,4
192.168.50.83,192.168.50.1,22,65086,TCP,98,44,64,PA,24.0,501.0,5
192.168.50.1,192.168.50.83,65086,22,TCP,60,0,127,A,16.0,512.0,6
192.168.50.83,192.168.50.1,55023,53,UDP,86,0,64,None,,,7
192.168.50.1,192.168.50.83,53,55023,UDP,106,0,64,None,,,8
192.168.50.83,192.168.50.1,22,65086,TCP,130,76,64,PA,24.0,501.0,9
192.168.50.1,192.168.50.83,65086,22,TCP,60,0,127,A,16.0,512.0,10
192.168.50.83,192.168.50.1,22,65086,TCP,130,76,64,PA,24.0,501.0,11
192.168.50.1,192.168.50.83,65086,22,TCP,60,0,127,A,16.0,512.0,12
192.168.50.30,255.255.255.255,35186,9999,UDP,100,58,64,None,,,14
192.168.50.1,239.255.255.250,55166,1900,UDP,441,399,2,None,,,16
192.168.50.1,239.255.255.250,55166,1900,UDP,513,471,2,None,,,17
192.168.50.1,239.255.255.250,55166,1900,UDP,450,408,2,None,,,18
192.168.50.1,239.255.255.250,55166,1900,UDP,509,467,2,None,,,19
192.168.50.1,239.255.255.250,55166,1900,UDP,450,408,2,None,,,20
192.168.50.1,239.255.255.250,55166,1900,UDP,489,447,2,None,,,21
192.168.50.1,239.255.255.250,55166,1900,UDP,450,408,2,None,,,22
192.168.50.1,239.255.255.250,55166,1900,UDP,503,461,2,None,,,23
192.168.50.1,239.255.255.250,55166,1900,UDP,521,479,2,None,,,24
192.168.50.1,239.255.255.250,55166,1900,UDP,505,463,2,None,,,25
192.168.50.1,239.255.255.250,55166,1900,UDP,505,463,2,None,,,26
192.168.50.1,239.255.255.250,55166,1900,UDP,505,463,2,None,,,27
192.168.50.1,239.255.255.250,55166,1900,UDP,505,463,2,None,,,28
192.168.50.1,239.255.255.250,55166,1900,UDP,521,479,2,None,,,29
192.168.50.1,239.255.255.250,55166,1900,UDP,503,461,2,None,,,30
192.168.50.1,239.255.255.250,55166,1900,UDP,450,408,2,None,,,31
192.168.50.1,239.255.255.250,55166,1900,UDP,489,447,2,None,,,32
192.168.50.1,239.255.255.250,55166,1900,UDP,450,408,2,None,,,33
192.168.50.1,239.255.255.250,55166,1900,UDP,509,467,2,None,,,34
192.168.50.1,239.255.255.250,55166,1900,UDP,450,408,2,None,,,35
192.168.50.1,239.255.255.250,55166,1900,UDP,513,471,2,None,,,36
192.168.50.1,239.255.255.250,55166,1900,UDP,441,399,2,None,,,37
192.168.50.1,192.168.50.83,65086,22,TCP,90,36,127,PA,24.0,512.0,39
192.168.50.83,192.168.50.1,22,65086,TCP,90,36,64,PA,24.0,501.0,40
192.168.50.1,192.168.50.83,65086,22,TCP,60,0,127,A,16.0,511.0,41
192.168.50.1,192.168.50.83,65086,22,TCP,90,36,127,PA,24.0,511.0,43
192.168.50.83,192.168.50.1,22,65086,TCP,90,36,64,PA,24.0,501.0,44
192.168.50.1,192.168.50.83,65086,22,TCP,60,0,127,A,16.0,511.0,45
69.49.228.106,192.168.50.83,54592,22,TCP,74,0,46,S,2.0,65280.0,46
192.168.50.83,69.49.228.106,22,54592,TCP,74,0,64,SA,18.0,65160.0,47
69.49.228.106,192.168.50.83,54592,22,TCP,66,0,46,A,16.0,510.0,49
69.49.228.106,192.168.50.83,54592,22,TCP,78,12,46,PA,24.0,510.0,50
192.168.50.83,69.49.228.106,22,54592,TCP,66,0,64,A,16.0,509.0,51
192.168.50.83,69.49.228.106,22,54592,TCP,106,40,64,PA,24.0,509.0,52
69.49.228.106,192.168.50.83,54592,22,TCP,66,0,46,A,16.0,510.0,53
69.49.228.106,192.168.50.83,54592,22,TCP,1154,1088,46,PA,24.0,510.0,54
192.168.50.83,69.49.228.106,22,54592,TCP,1202,1136,64,PA,24.0,509.0,55
192.168.50.83,69.49.228.106,22,54592,TCP,66,0,64,A,16.0,501.0,56
192.168.50.1,192.168.50.83,65086,22,TCP,90,36,127,PA,24.0,511.0,57
192.168.50.83,192.168.50.1,22,65086,TCP,90,36,64,PA,24.0,501.0,58
192.168.50.83,192.168.50.1,22,65086,TCP,122,68,64,PA,24.0,501.0,59
192.168.50.83,192.168.50.1,22,65086,TCP,98,44,64,PA,24.0,501.0,60
192.168.50.1,192.168.50.83,65086,22,TCP,60,0,127,A,16.0,511.0,61
192.168.50.83,192.168.50.1,22,65086,TCP,154,100,64,PA,24.0,501.0,62
192.168.50.1,192.168.50.83,65086,22,TCP,60,0,127,A,16.0,510.0,63
69.49.228.106,192.168.50.83,54592,22,TCP,66,0,46,A,16.0,502.0,64
69.49.228.106,192.168.50.83,54592,22,TCP,114,48,46,PA,24.0,502.0,65
192.168.50.83,69.49.228.106,22,54592,TCP,66,0,64,A,16.0,501.0,66
192.168.50.83,69.49.228.106,22,54592,TCP,670,604,64,PA,24.0,501.0,67
69.49.228.106,192.168.50.83,54592,22,TCP,66,0,46,A,16.0,502.0,68
69.49.228.106,192.168.50.83,54592,22,TCP,82,16,46,PA,24.0,502.0,69
69.49.228.106,192.168.50.83,54592,22,TCP,118,52,46,PA,24.0,502.0,70
192.168.50.83,69.49.228.106,22,54592,TCP,66,0,64,A,16.0,501.0,71
192.168.50.83,69.49.228.106,22,54592,TCP,118,52,64,PA,24.0,501.0,72
69.49.228.106,192.168.50.83,54592,22,TCP,134,68,46,PA,24.0,502.0,73
192.168.50.83,69.49.228.106,22,54592,TCP,118,52,64,PA,24.0,501.0,74
69.49.228.106,192.168.50.83,54592,22,TCP,66,0,46,FA,17.0,502.0,75
192.168.50.83,69.49.228.106,22,54592,TCP,66,0,64,FA,17.0,501.0,76
69.49.228.106,192.168.50.83,54592,22,TCP,66,0,46,A,16.0,502.0,77
91.208.197.184,192.168.50.83,38422,22,TCP,74,0,35,S,2.0,64240.0,79
192.168.50.83,91.208.197.184,22,38422,TCP,74,0,64,SA,18.0,65160.0,80
91.208.197.184,192.168.50.83,38422,22,TCP,66,0,35,A,16.0,502.0,81
