src_ip,dst_ip,protocol,dst_port,packet_length
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,99.83.179.177,TCP,443,114
99.83.179.177,10.129.219.246,TCP,53503,66
99.83.179.177,10.129.219.246,TCP,53503,104
10.129.219.246,99.83.179.177,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61869,1436
17.248.223.65,10.129.219.246,TCP,61869,1436
17.248.223.65,10.129.219.246,TCP,61869,1436
10.129.219.246,17.248.223.65,TCP,443,66
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61869,1436
17.248.223.65,10.129.219.246,TCP,61869,693
17.248.223.65,10.129.219.246,TCP,61869,97
17.248.223.65,10.129.219.246,TCP,61869,97
10.129.219.246,17.248.223.65,TCP,443,78
17.57.145.138,10.129.219.246,TCP,61586,421
10.129.219.246,17.57.145.138,TCP,5223,66
10.129.219.246,17.57.145.138,TCP,5223,98
17.57.145.138,10.129.219.246,TCP,61586,66
10.129.219.246,17.248.223.65,TCP,443,257
10.129.219.246,17.248.223.65,TCP,443,1006
10.129.219.246,17.248.223.65,TCP,443,97
17.248.223.65,10.129.219.246,TCP,61869,66
17.248.223.65,10.129.219.246,TCP,61869,78
17.248.223.65,10.129.219.246,TCP,61869,66
10.129.219.246,17.248.223.65,TCP,443,1006
17.248.223.65,10.129.219.246,TCP,61869,78
17.248.223.65,10.129.219.246,TCP,61869,1436
17.248.223.65,10.129.219.246,TCP,61869,1436
10.129.219.246,17.248.223.65,TCP,443,66
17.248.223.65,10.129.219.246,TCP,61869,1436
17.248.223.65,10.129.219.246,TCP,61869,1165
17.248.223.65,10.129.219.246,TCP,61869,97
17.248.223.65,10.129.219.246,TCP,61869,97
10.129.219.246,17.248.223.65,TCP,443,78
10.129.219.246,17.248.223.65,TCP,443,202
10.129.219.246,17.248.223.65,TCP,443,1004
10.129.219.246,17.248.223.65,TCP,443,97
17.248.223.65,10.129.219.246,TCP,61869,66
17.248.223.65,10.129.219.246,TCP,61869,78
17.248.223.65,10.129.219.246,TCP,61869,66
10.129.219.246,17.248.223.65,TCP,443,1004
17.248.223.65,10.129.219.246,TCP,61869,78
17.248.223.65,10.129.219.246,TCP,61869,1436
