src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,1203,1137,120,PA,24.0,1039.0,0
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,1
10.130.188.207,64.233.187.188,49468.0,5228.0,TCP,54,0,64,A,16.0,2048.0,2
64.233.187.188,10.130.188.207,5228.0,49468.0,TCP,66,0,120,A,16.0,1044.0,3
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,1221,1155,120,PA,24.0,1039.0,4
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,5
10.130.188.207,224.0.0.251,5353.0,5353.0,UDP,117,0,255,None,,,6
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,929,863,120,PA,24.0,1039.0,8
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,9
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,1208,1142,120,PA,24.0,1039.0,10
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,11
10.130.188.207,3.233.158.24,49675.0,443.0,TCP,351,285,64,PA,24.0,2048.0,12
10.130.188.207,3.233.158.24,49675.0,443.0,TCP,105,39,64,PA,24.0,2048.0,13
10.130.188.207,3.233.158.24,49675.0,443.0,TCP,1195,1129,64,PA,24.0,2048.0,14
10.130.188.207,142.250.77.14,64214.0,443.0,UDP,408,366,64,None,,,15
10.130.188.207,34.144.254.29,49496.0,443.0,TCP,453,387,64,PA,24.0,4044.0,16
10.130.188.207,34.144.254.29,53861.0,443.0,UDP,325,283,64,None,,,17
34.144.254.29,10.130.188.207,443.0,49496.0,TCP,66,0,121,A,16.0,858.0,18
142.250.77.14,10.130.188.207,443.0,64214.0,UDP,70,28,58,None,,,19
34.144.254.29,10.130.188.207,443.0,53861.0,UDP,70,28,58,None,,,20
10.130.188.207,142.250.77.14,64214.0,443.0,UDP,74,32,64,None,,,21
142.250.77.14,10.130.188.207,443.0,64214.0,UDP,64,22,58,None,,,22
10.130.188.207,142.250.77.14,64214.0,443.0,UDP,75,33,64,None,,,23
10.130.188.207,34.144.254.29,53861.0,443.0,UDP,74,32,64,None,,,24
3.233.158.24,10.130.188.207,443.0,49675.0,TCP,66,0,36,A,16.0,83.0,25
3.233.158.24,10.130.188.207,443.0,49675.0,TCP,66,0,36,A,16.0,83.0,26
3.233.158.24,10.130.188.207,443.0,49675.0,TCP,66,0,36,A,16.0,82.0,27
3.233.158.24,10.130.188.207,443.0,49675.0,TCP,105,39,36,PA,24.0,82.0,28
10.130.188.207,3.233.158.24,49675.0,443.0,TCP,66,0,64,A,16.0,2047.0,29
3.233.158.24,10.130.188.207,443.0,49675.0,TCP,224,158,36,PA,24.0,83.0,30
10.130.188.207,3.233.158.24,49675.0,443.0,TCP,66,0,64,A,16.0,2045.0,31
10.130.188.207,3.233.158.24,49675.0,443.0,TCP,101,35,64,PA,24.0,2048.0,32
34.144.254.29,10.130.188.207,443.0,53861.0,UDP,336,294,58,None,,,33
10.130.188.207,142.250.77.14,64214.0,443.0,UDP,71,29,64,None,,,34
10.130.188.207,34.144.254.29,53861.0,443.0,UDP,78,36,64,None,,,35
10.130.188.207,142.250.77.14,64214.0,443.0,UDP,71,29,64,None,,,36
142.250.77.14,10.130.188.207,443.0,64214.0,UDP,66,24,58,None,,,37
142.250.77.14,10.130.188.207,443.0,64214.0,UDP,67,25,58,None,,,38
142.250.77.14,10.130.188.207,443.0,64214.0,UDP,648,606,58,None,,,39
142.250.77.14,10.130.188.207,443.0,64214.0,UDP,63,21,58,None,,,40
10.130.188.207,142.250.77.14,64214.0,443.0,UDP,77,35,64,None,,,41
34.144.254.29,10.130.188.207,443.0,53861.0,UDP,66,24,58,None,,,42
142.250.77.14,10.130.188.207,443.0,64214.0,UDP,66,24,58,None,,,43
3.233.158.24,10.130.188.207,443.0,49675.0,TCP,66,0,36,A,16.0,83.0,44
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,1162,1096,120,PA,24.0,1039.0,45
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,46
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,1251,1185,120,PA,24.0,1039.0,47
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,48
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,1330,1264,120,PA,24.0,1039.0,49
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,50
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,1230,1164,120,PA,24.0,1039.0,51
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,52
10.130.188.207,162.247.243.29,49672.0,443.0,TCP,54,0,64,A,16.0,2048.0,53
10.130.188.207,162.247.243.29,49665.0,443.0,TCP,54,0,64,A,16.0,2048.0,54
10.130.188.207,162.247.243.29,49663.0,443.0,TCP,54,0,64,A,16.0,2048.0,55
162.247.243.29,10.130.188.207,443.0,49663.0,TCP,66,0,56,A,16.0,348.0,56
162.247.243.29,10.130.188.207,443.0,49672.0,TCP,66,0,56,A,16.0,326.0,57
162.247.243.29,10.130.188.207,443.0,49665.0,TCP,66,0,56,A,16.0,344.0,58
10.130.188.207,162.247.243.29,49671.0,443.0,TCP,54,0,64,A,16.0,2048.0,59
10.130.188.207,162.247.243.29,49667.0,443.0,TCP,54,0,64,A,16.0,2048.0,60
10.130.188.207,162.247.243.29,49666.0,443.0,TCP,54,0,64,A,16.0,2048.0,61
162.247.243.29,10.130.188.207,443.0,49667.0,TCP,66,0,56,A,16.0,348.0,62
162.247.243.29,10.130.188.207,443.0,49666.0,TCP,66,0,56,A,16.0,348.0,63
162.247.243.29,10.130.188.207,443.0,49671.0,TCP,66,0,55,A,16.0,326.0,64
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,796,730,120,PA,24.0,1039.0,65
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,66
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,1323,1257,120,PA,24.0,1039.0,67
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,68
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,1204,1138,120,PA,24.0,1039.0,69
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,70
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,1209,1143,120,PA,24.0,1039.0,71
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,72
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,903,837,120,PA,24.0,1039.0,73
10.130.188.207,34.144.254.29,49497.0,443.0,TCP,66,0,64,A,16.0,2048.0,74
34.144.254.29,10.130.188.207,443.0,49497.0,TCP,1226,1160,120,PA,24.0,1039.0,75
