src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
192.168.137.112,142.250.66.78,60766.0,443.0,UDP,71,29,64,None,,,2
142.250.66.78,192.168.137.112,443.0,60766.0,UDP,68,26,58,None,,,3
192.168.137.112,185.199.111.133,49221.0,443.0,TCP,54,0,64,A,16.0,2048.0,4
185.199.111.133,192.168.137.112,443.0,49221.0,TCP,66,0,56,A,16.0,300.0,5
140.82.114.26,192.168.137.112,443.0,49222.0,TCP,91,25,36,PA,24.0,81.0,6
192.168.137.112,140.82.114.26,49222.0,443.0,TCP,66,0,64,A,16.0,2047.0,7
192.168.137.112,140.82.114.26,49222.0,443.0,TCP,95,29,64,PA,24.0,2048.0,8
140.82.114.26,192.168.137.112,443.0,49222.0,TCP,66,0,36,A,16.0,81.0,9
192.168.137.112,140.112.248.53,49255.0,7000.0,TCP,78,0,64,S,2.0,65535.0,10
140.112.248.53,192.168.137.112,7000.0,49255.0,TCP,78,0,62,SA,18.0,65535.0,11
192.168.137.112,140.112.248.53,49255.0,7000.0,TCP,66,0,64,A,16.0,2058.0,12
192.168.137.112,140.112.248.53,49255.0,7000.0,TCP,107,41,64,PA,24.0,2058.0,13
140.112.248.53,192.168.137.112,7000.0,49255.0,TCP,66,0,62,A,16.0,2059.0,14
140.112.248.53,192.168.137.112,7000.0,49255.0,TCP,66,0,62,A,16.0,2059.0,15
140.112.248.53,192.168.137.112,7000.0,49255.0,TCP,1514,1448,62,A,16.0,2059.0,16
192.168.137.112,140.112.248.53,49255.0,7000.0,TCP,66,0,64,A,16.0,2036.0,17
140.112.248.53,192.168.137.112,7000.0,49255.0,TCP,553,487,62,PA,24.0,2059.0,18
192.168.137.112,140.112.248.53,49255.0,7000.0,TCP,66,0,64,A,16.0,2040.0,19
192.168.137.112,140.112.248.53,49255.0,7000.0,TCP,66,0,64,FA,17.0,2048.0,20
140.112.248.53,192.168.137.112,7000.0,49255.0,TCP,66,0,62,A,16.0,2059.0,21
140.112.248.53,192.168.137.112,7000.0,49255.0,TCP,66,0,62,FA,17.0,2059.0,22
192.168.137.112,140.112.248.53,49255.0,7000.0,TCP,66,0,64,A,16.0,2048.0,23
192.168.137.112,142.250.204.35,49235.0,443.0,TCP,54,0,64,A,16.0,2048.0,24
142.250.204.35,192.168.137.112,443.0,49235.0,TCP,66,0,121,A,16.0,1044.0,25
192.168.137.112,185.199.111.154,49220.0,443.0,TCP,54,0,64,A,16.0,2726.0,26
185.199.111.154,192.168.137.112,443.0,49220.0,TCP,66,0,55,A,16.0,302.0,27
17.253.117.202,192.168.137.112,443.0,60173.0,TCP,90,24,58,PA,24.0,64.0,28
17.253.117.202,192.168.137.112,443.0,60173.0,TCP,66,0,58,FA,17.0,64.0,29
192.168.137.112,17.253.117.202,60173.0,443.0,TCP,66,0,64,A,16.0,2047.0,30
192.168.137.112,17.253.117.202,60173.0,443.0,TCP,90,24,64,PA,24.0,2048.0,31
192.168.137.112,17.253.117.202,60173.0,443.0,TCP,66,0,64,FA,17.0,2048.0,32
17.253.117.202,192.168.137.112,443.0,60173.0,TCP,54,0,58,R,4.0,0.0,33
17.253.117.202,192.168.137.112,443.0,60173.0,TCP,54,0,58,R,4.0,0.0,34
142.250.66.78,192.168.137.112,443.0,60766.0,UDP,79,37,58,None,,,35
192.168.137.112,142.250.66.78,60766.0,443.0,UDP,75,33,64,None,,,36
192.168.137.112,142.250.66.78,60766.0,443.0,UDP,71,29,64,None,,,37
142.250.66.78,192.168.137.112,443.0,60766.0,UDP,68,26,58,None,,,38
192.168.137.112,142.250.66.78,60766.0,443.0,UDP,71,29,64,None,,,39
142.250.66.78,192.168.137.112,443.0,60766.0,UDP,68,26,58,None,,,40
192.168.137.112,142.250.66.78,60766.0,443.0,UDP,71,29,64,None,,,41
142.250.66.78,192.168.137.112,443.0,60766.0,UDP,68,26,58,None,,,42
192.168.137.112,142.250.66.78,60766.0,443.0,UDP,71,29,64,None,,,43
142.250.66.78,192.168.137.112,443.0,60766.0,UDP,68,26,58,None,,,44
192.168.137.112,142.250.66.78,60766.0,443.0,UDP,71,29,64,None,,,45
142.250.66.78,192.168.137.112,443.0,60766.0,UDP,68,26,58,None,,,46
192.168.137.112,142.250.66.78,60766.0,443.0,UDP,71,29,64,None,,,47
142.250.66.78,192.168.137.112,443.0,60766.0,UDP,68,26,58,None,,,48
192.168.137.112,142.250.66.78,60766.0,443.0,UDP,71,29,64,None,,,49
142.250.66.78,192.168.137.112,443.0,60766.0,UDP,68,26,58,None,,,50
192.168.137.112,192.168.137.1,51540.0,53.0,UDP,85,0,64,None,,,51
192.168.137.112,192.168.137.1,51748.0,53.0,UDP,86,0,64,None,,,52
192.168.137.112,192.168.137.1,49500.0,53.0,UDP,86,0,64,None,,,53
