src_ip_delta_time,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index,log_src_ip_avg_freq
0.013345,10.5.6.61,140.112.31.46,7000.0,41822.0,TCP,78,0,64,SA,18.0,65535.0,14,2.2794962962497802
0.007087,10.5.6.61,10.5.0.48,5353.0,5353.0,UDP,438,0,255,,,,15,2.2794962962497802
0.082373,10.5.6.61,17.248.223.66,52839.0,443.0,TCP,105,39,64,PA,24.0,46.0,17,2.2794962962497802
0.000723,10.5.6.61,17.248.223.66,52839.0,443.0,TCP,90,24,64,PA,24.0,46.0,18,2.2794962962497802
0.00096,10.5.6.61,17.248.223.66,52839.0,443.0,TCP,66,0,64,FA,17.0,46.0,19,2.2794962962497802
0.001436,17.248.223.66,10.5.6.61,443.0,52839.0,TCP,66,0,55,A,16.0,63.0,21,8.056996691797272
0.000634,17.248.223.66,10.5.6.61,443.0,52839.0,TCP,66,0,55,FA,17.0,63.0,22,8.056996691797272
0.00629,10.5.6.61,17.248.223.66,52839.0,443.0,TCP,66,0,64,A,16.0,46.0,23,2.2794962962497802
0.28793,10.5.5.83,239.255.255.250,59848.0,1900.0,UDP,303,261,4,,,,26,2.251885974611372
0.090686,10.5.5.83,239.255.255.250,59848.0,1900.0,UDP,312,270,4,,,,29,2.251885974611372
0.336525,10.5.6.205,10.5.7.255,137.0,137.0,UDP,92,0,128,,,,30,1.2540053816321428
0.032928,10.5.5.83,224.0.0.251,5353.0,5353.0,UDP,142,0,255,,,,31,2.251885974611372
0.056544,10.5.5.83,239.255.255.250,59848.0,1900.0,UDP,359,317,4,,,,32,2.251885974611372
0.090458,10.5.5.83,239.255.255.250,59848.0,1900.0,UDP,357,315,4,,,,35,2.251885974611372
0.000417,10.5.3.43,224.0.0.251,5353.0,5353.0,UDP,96,0,1,,,,37,2.021767825814943
0.092798,10.5.5.83,224.0.0.251,5353.0,5353.0,UDP,441,0,255,,,,40,2.251885974611372
7e-06,10.5.5.83,239.255.255.250,59848.0,1900.0,UDP,369,327,4,,,,41,2.251885974611372
0.091839,10.5.5.83,239.255.255.250,59848.0,1900.0,UDP,367,325,4,,,,42,2.251885974611372
0.04489,10.5.5.83,224.0.0.251,5353.0,5353.0,UDP,157,0,255,,,,43,2.251885974611372
0.023067,10.5.5.83,255.255.255.255,48689.0,48689.0,UDP,92,50,64,,,,45,2.251885974611372
0.260059,10.5.3.43,224.0.0.251,5353.0,5353.0,UDP,96,0,1,,,,46,2.021767825814943
0.91433,10.5.0.48,224.0.0.251,5353.0,5353.0,UDP,1480,0,255,,,,48,3.066256756311292
0.097745,10.5.0.48,224.0.0.251,5353.0,5353.0,UDP,81,0,255,,,,57,3.066256756311292
0.000678,10.5.0.166,224.0.0.251,5353.0,5353.0,UDP,83,0,1,,,,60,1.6176436864632058
2e-06,10.5.0.166,224.0.0.251,5353.0,5353.0,UDP,296,0,1,,,,61,1.6176436864632058
4e-06,10.5.0.166,224.0.0.251,5353.0,5353.0,UDP,287,0,1,,,,62,1.6176436864632058
1.056317,10.5.3.148,224.0.0.251,5353.0,5353.0,UDP,1164,0,255,,,,67,1.4694907710442526
0.283992,10.5.3.43,224.0.0.251,5353.0,5353.0,UDP,96,0,1,,,,69,2.021767825814943
0.768799,10.5.6.205,10.5.7.255,137.0,137.0,UDP,92,0,128,,,,70,1.2540053816321428
1.022803,10.5.7.252,224.0.0.18,,,Other,70,36,255,,,,71,0.8806626526032294
0.194557,10.5.3.148,10.5.7.255,137.0,137.0,UDP,110,0,64,,,,72,1.4694907710442526
0.99193,10.5.0.24,224.0.0.251,5353.0,5353.0,UDP,98,0,255,,,,73,1.0336742407986899
0.527063,10.5.5.83,239.255.255.250,36254.0,1900.0,UDP,303,261,4,,,,75,2.251885974611372
0.218106,10.5.3.43,224.0.0.251,5353.0,5353.0,UDP,353,0,1,,,,76,2.021767825814943
0.001008,10.5.3.43,224.0.0.251,5353.0,5353.0,UDP,286,0,1,,,,78,2.021767825814943
0.084831,10.5.5.83,239.255.255.250,36254.0,1900.0,UDP,312,270,4,,,,82,2.251885974611372
0.125265,10.5.5.83,239.255.255.250,36254.0,1900.0,UDP,359,317,4,,,,83,2.251885974611372
1.32743,10.5.6.61,31.13.87.1,55862.0,443.0,TCP,98,32,64,PA,24.0,2048.0,85,2.2794962962497802
0.001383,10.5.6.61,31.13.87.1,55864.0,443.0,TCP,98,32,64,PA,24.0,2048.0,86,2.2794962962497802
0.001664,10.5.6.61,31.13.87.1,55861.0,443.0,TCP,98,32,64,PA,24.0,2048.0,87,2.2794962962497802
8.3e-05,10.5.6.61,31.13.87.1,55863.0,443.0,TCP,98,32,64,PA,24.0,2048.0,88,2.2794962962497802
0.000689,31.13.87.1,10.5.6.61,443.0,55864.0,TCP,66,0,54,A,16.0,364.0,90,1.714756683567173
