timestamp,src_ip,dst_ip,src_port,dst_port,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window
1747276085.2715,10.5.6.61,140.112.31.46,7000.0,41822.0,78,0,64,SA,18.0,65535.0
1747276085.278587,10.5.6.61,10.5.0.48,5353.0,5353.0,438,0,255,,,
1747276085.36096,10.5.6.61,17.248.223.66,52839.0,443.0,105,39,64,PA,24.0,46.0
1747276085.361683,10.5.6.61,17.248.223.66,52839.0,443.0,90,24,64,PA,24.0,46.0
1747276085.362643,10.5.6.61,17.248.223.66,52839.0,443.0,66,0,64,FA,17.0,46.0
1747276085.368163,17.248.223.66,10.5.6.61,443.0,52839.0,66,0,55,A,16.0,63.0
1747276085.368797,17.248.223.66,10.5.6.61,443.0,52839.0,66,0,55,FA,17.0,63.0
1747276085.368933,10.5.6.61,17.248.223.66,52839.0,443.0,66,0,64,A,16.0,46.0
1747276085.397072,10.5.5.83,239.255.255.250,59848.0,1900.0,303,261,4,,,
1747276085.487758,10.5.5.83,239.255.255.250,59848.0,1900.0,312,270,4,,,
1747276085.507659,10.5.6.205,10.5.7.255,137.0,137.0,92,0,128,,,
1747276085.520686,10.5.5.83,224.0.0.251,5353.0,5353.0,142,0,255,,,
1747276085.57723,10.5.5.83,239.255.255.250,59848.0,1900.0,359,317,4,,,
1747276085.667688,10.5.5.83,239.255.255.250,59848.0,1900.0,357,315,4,,,
1747276085.686116,10.5.3.43,224.0.0.251,5353.0,5353.0,96,0,1,,,
1747276085.760486,10.5.5.83,224.0.0.251,5353.0,5353.0,441,0,255,,,
1747276085.760493,10.5.5.83,239.255.255.250,59848.0,1900.0,369,327,4,,,
1747276085.852332,10.5.5.83,239.255.255.250,59848.0,1900.0,367,325,4,,,
1747276085.897222,10.5.5.83,224.0.0.251,5353.0,5353.0,157,0,255,,,
1747276085.920289,10.5.5.83,255.255.255.255,48689.0,48689.0,92,50,64,,,
1747276085.946175,10.5.3.43,224.0.0.251,5353.0,5353.0,96,0,1,,,
1747276085.955147,10.5.0.48,224.0.0.251,5353.0,5353.0,1480,0,255,,,
1747276086.052892,10.5.0.48,224.0.0.251,5353.0,5353.0,81,0,255,,,
1747276086.061848,10.5.0.166,224.0.0.251,5353.0,5353.0,83,0,1,,,
1747276086.06185,10.5.0.166,224.0.0.251,5353.0,5353.0,296,0,1,,,
1747276086.061854,10.5.0.166,224.0.0.251,5353.0,5353.0,287,0,1,,,
1747276086.120813,10.5.3.148,224.0.0.251,5353.0,5353.0,1164,0,255,,,
1747276086.230167,10.5.3.43,224.0.0.251,5353.0,5353.0,96,0,1,,,
1747276086.276458,10.5.6.205,10.5.7.255,137.0,137.0,92,0,128,,,
1747276086.294132,10.5.7.252,224.0.0.18,,,70,36,255,,,
1747276086.31537,10.5.3.148,10.5.7.255,137.0,137.0,110,0,64,,,
1747276086.385261,10.5.0.24,224.0.0.251,5353.0,5353.0,98,0,255,,,
1747276086.447352,10.5.5.83,239.255.255.250,36254.0,1900.0,303,261,4,,,
